id,name,birth,death,birth_location,created_at,updated_at
1,Bahá'u'lláh,,,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
2,'Abdu'l-Bahá,,,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
3,Shoghi Effendi,,,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
4,Martin Luther King,,,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
5,Thich Nhat Hanh,,,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
6,William James,,,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
7,Hebert Simon,,,,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC
8,Unknown,,,,2019-07-19 12:51:23 UTC,2019-07-19 12:51:23 UTC
9,Fajhruddin Iraqi,,,,2019-07-19 12:52:30 UTC,2019-07-19 12:52:30 UTC
10,Abu Said of Mineh,,,,2019-07-19 12:58:06 UTC,2019-07-19 12:58:06 UTC
11,George Townsend,,,,2019-07-21 04:05:53 UTC,2019-07-21 04:05:53 UTC
12,Malcolm X,,,,2019-07-21 21:34:19 UTC,2019-07-21 21:34:19 UTC
13,St. Paul the Apostle,,,,2019-07-21 21:41:47 UTC,2019-07-21 21:41:47 UTC
14,Kate Manne,,,,2019-07-24 03:31:33 UTC,2019-07-24 03:31:33 UTC
15,William Gibson,,,,2019-07-24 22:19:22 UTC,2019-07-24 22:19:22 UTC
16,Michael Karlberg,,,,2019-08-01 10:33:30 UTC,2019-08-01 10:33:30 UTC
17,Jesus,,,,2019-08-09 13:40:34 UTC,2019-08-09 13:40:34 UTC
