id,topic_id,quote_id,created_at,updated_at,relevance
1,1,2,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC,
2,2,3,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC,
3,3,4,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC,
4,3,5,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC,
5,4,5,2019-07-19 02:53:48 UTC,2019-07-19 02:53:48 UTC,
6,10,13,2019-07-21 05:04:11 UTC,2019-07-21 05:04:11 UTC,
7,11,14,2019-07-21 21:35:46 UTC,2019-07-21 21:35:46 UTC,
8,12,15,2019-07-21 21:36:30 UTC,2019-07-21 21:36:30 UTC,
9,14,16,2019-07-21 21:38:41 UTC,2019-07-21 21:38:41 UTC,
10,13,16,2019-07-21 21:38:41 UTC,2019-07-21 21:38:41 UTC,
11,15,16,2019-07-21 21:38:41 UTC,2019-07-21 21:38:41 UTC,
12,7,17,2019-07-21 21:40:37 UTC,2019-07-21 21:40:37 UTC,
13,16,18,2019-07-21 21:46:54 UTC,2019-07-21 21:46:54 UTC,
14,7,18,2019-07-21 21:46:54 UTC,2019-07-21 21:46:54 UTC,
15,18,19,2019-07-21 22:02:35 UTC,2019-07-21 22:02:35 UTC,
16,7,20,2019-07-21 22:03:30 UTC,2019-07-21 22:03:30 UTC,
17,7,6,2019-07-21 22:09:38 UTC,2019-07-21 22:09:38 UTC,
18,20,6,2019-07-21 22:11:12 UTC,2019-07-21 22:11:12 UTC,
19,7,21,2019-07-21 22:13:18 UTC,2019-07-21 22:13:18 UTC,
20,7,22,2019-07-21 22:15:34 UTC,2019-07-21 22:15:34 UTC,
21,21,23,2019-07-21 22:17:46 UTC,2019-07-21 22:17:46 UTC,
22,18,24,2019-07-24 03:30:01 UTC,2019-07-24 03:30:01 UTC,
32,18,26,2019-07-24 13:29:06 UTC,2019-07-24 13:29:06 UTC,
33,22,27,2019-07-24 22:20:24 UTC,2019-07-24 22:20:24 UTC,
34,7,9,2019-07-28 04:15:13 UTC,2019-07-28 04:15:13 UTC,
35,10,28,2019-07-31 10:51:29 UTC,2019-07-31 10:51:29 UTC,
36,10,29,2019-08-06 12:22:02 UTC,2019-08-06 12:22:02 UTC,
37,16,29,2019-08-06 12:22:02 UTC,2019-08-06 12:22:02 UTC,
38,9,30,2019-08-06 14:11:37 UTC,2019-08-06 14:11:37 UTC,
39,24,31,2019-08-09 10:56:17 UTC,2019-08-09 10:56:17 UTC,
40,24,32,2019-08-09 11:05:58 UTC,2019-08-09 11:05:58 UTC,
41,7,33,2019-08-09 13:39:57 UTC,2019-08-09 13:39:57 UTC,
42,10,34,2019-08-11 14:21:12 UTC,2019-08-11 14:21:12 UTC,
